title,title_characters,author,journal,number,cites,year,pubid,name,scholar_id
investigating ecology great yellow bumblebee bombus distinguendus within wider bumblebee community northwest ireland,137,"N Phelan, D Suddaby, DA Stanley",Journal of Insect Conservation,"25 (2), 297-310",4,2021,4TOpqqG69KYC,Dara A Stanley,"""IMpUlqYAAAAJ"""
reproductive resilience habitat fragmentation lithraea molleoides anacardiaceae dominant dioecious tree chaco serrano,137,"AL Chiapero, R Aguilar, GM Galfrascoli, G Bernardello, M Quesada, ...",Forest Ecology and Management,"492, 119215",7,2021,hsZV8lGYWTMC,Mauricio Quesada,"""-OsTXSoAAAAJ"""
barking wrong tree characterizing farmers farms behavioural framework regarding livestock guardian dog use south africa,138,CB Glatthaar,Cape Peninsula University of Technology,,1,2021,dTyEYWd-f8wC,Sjirk Geerts,"""_ZlLqNwAAAAJ"""
revision afrotropical species hover fly genus mesembrius rondani diptera syrphidae using morphological molecular data,138,"K Jordaens, G Goergen, JH Skevington, S Kelso, M De Meyer",ZooKeys,"1046, 1",2,2021,aqlVkmm33-oC,Kurt Jordaens,"""mbg0t7QAAAAJ"""
intercropping diverse field margin vegetation suppress bean aphid homoptera aphididae infestation dolichos lablab purpureus l,138,"CN Mwani, J Nyaanga, EK Cheruiyot, JO Ogendo, PK Bett, R Mulwa, ...",Journal of Plant Protection Research,61 (3),6,2021,kVjdVfd2voEC,Philip C Stevenson,"""LFTAL14AAAAJ"""
contrasting effects alkaloid ricinine capacity anopheles gambiae anopheles coluzzii transmit plasmodium falciparum,138,"DFDS Hien, PSL Paré, A Cooper, BK Koama, E Guissou, KB Yaméogo, ...",Parasites & Vectors,"14, 1-11",9,2021,v1_lew4L6wgC,Philip C Stevenson,"""LFTAL14AAAAJ"""
effects hydroxycinnamic acid esters sweetpotato weevil feeding oviposition interactions bacillus thuringiensis proteins,138,"MO Anyanga, DI Farman, GN Ssemakula, ROM Mwanga, PC Stevenson",Journal of Pest Science,"94 (3), 783-794",10,2021,F1b5ZUV5XREC,Philip C Stevenson,"""LFTAL14AAAAJ"""
conservation management green carpenter bee xylocopa aerata hymenoptera apidae provision artificial nesting substrate,138,"K Hogendoorn, RV Glatz, R Leijs",Austral Entomology,"60 (1), 82-88",13,2021,RGFaLdJalmkC,Katja Hogendoorn,"""saxet1oAAAAJ"""
three new species liparis sl orchidaceae malaxideae southwest china based morphological characters phylogenetic evidence,138,"JD Ya, DL Lin, ZD Han, L Cai, ZR Zhang, DM He, XH Jin, WB Yu",Plant Diversity,"43 (5), 401-408",14,2021,e3CVSTJ63dQC,Wen-Bin Yu,"""HaZTJboAAAAJ"""
herbaceous perennial plants short generation time stronger responses climate anomalies longer generation time,138,"A Compagnoni, S Levin, DZ Childs, S Harpole, M Paniw, G Römer, ...",Nature Communications,"12 (1), 1824",59,2021,dfsIfKJdRG4C,Joanne M. Bennett,"""31ulXX0AAAAJ"""
effects sequential exposures sublethal doses amitraz thiacloprid learning memory honey bee foragers apis mellifera,139,"T Begna, C Jung",Journal of Asia-Pacific Entomology,"24 (2), 77-83",13,2021,fGk8ZXjgAbkC,Chuleui Jung,"""BtnbXbcAAAAJ"""
pollinator sampling methods influence community patterns assessments capturing species different traits different abundances,139,"A Thompson, M Frenzel, O Schweiger, M Musche, T Groth, SPM Roberts, ...",Ecological Indicators,"132, 108284",16,2021,O3NaXMp0MMsC,Mark Frenzel,"""qqXWeW4AAAAJ"""
revisions faunas andrena iberian peninsula morocco descriptions four new species hymenoptera andrenidae,139,"TJ Wood, G Ghisbain, D Michez, CJ Praz",European Journal of Taxonomy,"758, 147-193",31,2021,0SnApaDgcCoC,Denis Michez,"""iUgAM2YAAAAJ"""
development large set diagnostic snp markers using ddradseq study hybridization rhinanthus major r minor orobanchaceae,140,"K Mirzaei, RA Wesselingh",Conservation Genetics Resources,"13 (1), 31-33",2,2021,1l3MdapXzAoC,Renate A. Wesselingh,"""MUC_BLoAAAAJ"""
covering shading neighbouring plants diminish pollinator visits reproductive success forest edge specialist dwarf species,140,"A Ushimaru, I Rin, KR Katsuhara",Plant Biology,"23 (5), 711-718",5,2021,KxtntwgDAa4C,Atushi Ushimaru,"""9uE0IWMAAAAJ"""
simulated vector transmission differentially influences dynamics two viral variants deformed wing virus honey bees apis mellifera,140,"AM Ray, SL Davis, JL Rasgon, CM Grozinger",Journal of General Virology,"102 (11), 001687",11,2021,DJbcl8HfkQkC,Christina Grozinger,"""uwKZaKIAAAAJ"""
bee abundance soil nitrogen availability interactively modulate apple quality quantity intensive agricultural landscapes china,140,"P Wu, T Tscharntke, C Westphal, M Wang, A Olhnuud, H Xu, Z Yu, ...","Agriculture, Ecosystems & Environment","305, 107168",15,2021,bCjgOgSFrM0C,Teja Tscharntke,"""X36HAGcAAAAJ"""
diversity composition pollen loads carried pollinators primarily driven insect traits floral community characteristics,140,"N Cullen, J Xia, N Wei, R Kaczorowski, G Arceo-Gómez, E O’Neill, ...",Oecologia,"196, 131-143",34,2021,nZcligLrVowC,Tia-Lynn Ashman,"""lLk9M0cAAAAJ"""
neuroanatomical differentiation associated alternative reproductive tactics male arid land bees centris pallida amegilla dawsoni,141,"M Barrett, S Schneider, P Sachdeva, A Gomez, S Buchmann, S O’Donnell",Journal of Comparative Physiology A,"207, 497-504",10,2021,BwyfMAYsbu0C,Stephen Buchmann,"""tqms8REAAAAJ"""
potential alien ranges european plants will shrink future less already naturalized yet naturalized species,141,"R Pouteau, I Biurrun, C Brunel, M Chytrý, W Dawson, F Essl, T Fristoe, ...",Diversity and Distributions,"27 (11), 2063-2076",11,2021,kz9GbA2Ns4gC,Mark van Kleunen,"""2gmD55UAAAAJ"""
geographic mosaics fly pollinators divergent color preferences drive landscapescale structuring flower color daisy communities,141,"AG Ellis, B Anderson, JE Kemp",Frontiers in Plant Science,"12, 617761",15,2021,K3LRdlH-MEoC,Allan G. Ellis,"""gxJPM4kAAAAJ"""
transferrinmediated iron sequestration suggests novel therapeutic strategy controlling nosema disease honey bee apis mellifera,141,"C Rodríguez-García, MC Heerman, SC Cook, JD Evans, ...",PLoS Pathogens,"17 (2), e1009270",31,2021,iWL_APfBKHwC,Jay D. Evans,"""iCJoV-EAAAAJ"""
evolution floral scent relation selfincompatibility capacity autonomous selfpollination perennial herb arabis alpina,142,"H Petrén, P Toräng, J Ågren, M Friberg",Annals of botany,"127 (6), 737-747",23,2021,cMwz8cpHLggC,Jon Ågren,"""yxf8wX8AAAAJ"""
intraspecific trait variation reversals trait strategies across key climate gradients native hawaiian plants nonnative invaders,142,"AC Westerband, TM Knight, KE Barton",Annals of botany,"127 (4), 553-564",31,2021,LjlpjdlvIbIC,Tiffany Knight,"""QMqWqrkAAAAJ"""
beyond fortress conservation longterm integration natural social science research inclusive conservation practice india,142,"ND Rai, MS Devy, T Ganesh, R Ganesan, SR Setty, AJ Hiremath, ...",Biological Conservation,"254, 108888",47,2021,TQgYirikUcIC,Soubadra Devy,"""kT4LQW8AAAAJ"""
epidemiology nosema spp effect indoor outdoor wintering honey bee colony population survival canadian prairies,143,"RN Punko, RW Currie, ME Nasr, SE Hoover",PLoS One,"16 (10), e0258801",11,2021,L8Ckcad2t8MC,Shelley Hoover,"""lz2Up-IAAAAJ"""
plastid ndh pseudogenization gene loss recently derived lineage largest hemiparasitic plant genus pedicularis orobanchaceae,143,"X Li, JB Yang, H Wang, Y Song, RT Corlett, X Yao, DZ Li, WB Yu",Plant and Cell Physiology,"62 (6), 971-984",38,2021,_IsBomjs8bsC,Wen-Bin Yu,"""HaZTJboAAAAJ"""
spatial temporal patterns genetic diversity bombus terrestris populations iberian peninsula conservation implications,144,"D Cejas, P De la Rúa, C Ornosa, D Michez, I Muñoz",Scientific Reports,"11 (1), 22471",5,2021,5CmvP2Up3ZUC,Denis Michez,"""iUgAM2YAAAAJ"""
similar yield benefits hybrid conventional organic tomato sweet pepper varieties wellwatered droughtstressed conditions,144,"AM Ficiciyan, J Loos, T Tscharntke",Frontiers in Sustainable Food Systems,"5, 628537",12,2021,jKT558fuBk8C,Teja Tscharntke,"""X36HAGcAAAAJ"""
africanized honey bees colombia exhibit high prevalence low level infestation varroa mites low prevalence pathogenic viruses,144,"VM Tibatá, A Sanchez, E Palmer-Young, H Junca, VM Solarte, S Madella, ...",PLoS One,"16 (5), e0244906",24,2021,hFOr9nPyWt4C,Evan Palmer-Young,"""VGvOypoAAAAJ"""
late holocene ameghinomya antiqua shells beagle channel multiproxy approach palaeoenvironmental palaeoclimatic reconstruction,145,"GA Morán, S Bayer, L Beierlein, JJ Martínez, S Benitez-Vieyra, ...","Palaeogeography, Palaeoclimatology, Palaeoecology","578, 110574",4,2021,TQgYirikUcIC,Santiago Benitez-Vieyra,"""W51uUzUAAAAJ"""
broadening scope empirical studies answer persistent questions landscapemoderated effects biodiversity ecosystem functioning,145,"DJ Perović, S Gámez-Virués, DA Landis, T Tscharntke, MP Zalucki, ...",Advances in Ecological Research,"65, 109-131",6,2021,UarirCmVI0EC,Teja Tscharntke,"""X36HAGcAAAAJ"""
evolutionary tradeoffs male secondary sexual traits revealed phylogeny hyperdiverse tribe eumaeini lepidoptera lycaenidae,145,"WA Valencia-Montoya, TB Quental, JFR Tonini, G Talavera, JD Crall, ...",Proceedings of the Royal Society B,"288 (1950), 20202512",14,2021,r0BpntZqJG4C,James Crall,"""MUgML1sAAAAJ"""
geographical mosaics fly pollinators divergent colour preferences drive landscapescale structuring flower colour daisy communities,145,"AG Ellis, B Anderson, JE Kemp",Frontiers in Plant Science,"12, 2",15,2021,nRpfm8aw39MC,Bruce Anderson,"""TQUTOpcAAAAJ"""
assessment seminatural habitats landscape features irish farmland new insights inform eu common agricultural policy implementation,145,"R Rotchés-Ribalta, S Ruas, KD Ahmed, M Gormally, J Moran, J Stout, ...",Ambio,"50, 346-359",34,2021,fEOibwPWpKIC,Jane Stout,"""OkdqijcAAAAJ"""
investigating invasion pattern alien plant solanum elaeagnifolium cavsilverleaf nightshade environmental humaninduced drivers,145,"N Krigas, MA Tsiafouli, G Katsoulis, NE Votsi, M van Kleunen",Plants,"10 (4), 805",35,2021,gsN89kCJA0AC,Mark van Kleunen,"""2gmD55UAAAAJ"""
pleistocene origin colonization history lobelia columnaris hook f campanulaceae lobelioideae across sky islands west central africa,146,"MA Pérez‐Pérez, WB Yu",Ecology and Evolution,"11 (22), 15860-15873",3,2021,2Q0AJrNhS-QC,Wen-Bin Yu,"""HaZTJboAAAAJ"""
annual rainfall variation dispersal limitation combine alter invaded plant community diversity dominance hierarchies seeding phenology,146,"M Raymundo, A Pastore, J HilleRisLambers, MM Mayfield",Climate Change Ecology,"2, 100024",8,2021,QlYoQ0azr6kC,Margaret M Mayfield,"""CdQQDgQAAAAJ"""
pollination reproduction enhance invasive potential early invader case lythrum salicaria purple loosetrife south africa,146,"S Geerts, O Adedoja",Biological Invasions,"23 (9), 2961-2971",14,2021,pyW8ca7W8N0C,Sjirk Geerts,"""_ZlLqNwAAAAJ"""
bees increase seed set wild plants proportion arable land variable effect pollination european agricultural landscapes,146,"L Herbertsson, J Ekroos, M Albrecht, I Bartomeus, P Batáry, R Bommarco, ...",Plant Ecology and Evolution,"154 (3), 341-350",18,2021,QtA78RmWg5MC,Ignasi Bartomeus,"""EXdyoWAAAAAJ"""
 century pollen foraging endangered rusty patched bumble bee bombus affinis inferences molecular sequencing museum specimens,146,"MP Simanonok, CRV Otto, RS Cornman, DD Iwanowicz, JP Strange, ...",Biodiversity and Conservation,"30 (1), 123-137",28,2021,tkaPQYYpVKoC,James P. Strange,"""4J50xaYAAAAJ"""
evolutionary ecological considerations nectarmediated tripartite interactions angiosperms relevance mediterranean basin,147,"M Nepi, D Calabrese, M Guarnieri, E Giordano",Plants,"10 (3), 507",10,2021,gubd_9ZgCi8C,Massimo Nepi,"""laRtIhIAAAAJ"""
natural fire affect structure beta diversity plantpollinator networks diminishes floralvisitor specialization cerrado,147,"GJ Baronio, CS Souza, PK Maruyama, J Raizer, MR Sigrist, C Aoki",Flora,"281, 151869",10,2021,2P1L_qKh6hAC,Pietro Kiyoshi Maruyama Mendonça,"""9Nn2atgAAAAJ"""
 effect giving grazers access additional nutrient sources biodiversity seminatural pastures systematic review protocol,149,"I Envall, J Bengtsson, S Jakobsson, M Rundlöf, C Åberg, R Lindborg",Environmental Evidence,"10, 1-11",2,2021,5awf1xo2G04C,Maj Rundlöf,"""FkXb8ncAAAAJ"""
intranasal delivery naloxoneloaded solid lipid nanoparticles promising simple noninvasive approach management opioid overdose,150,"N Hasan, M Imran, P Kesharwani, K Khanna, R Karwasra, N Sharma, ...",International journal of pharmaceutics,"599, 120428",70,2021,GtLg2Ama23sC,DR DEVINDER SHARMA,"""_0rxcOwAAAAJ"""
future prospects insects biological resource india potential biological products utilizing insects reference frontier countries,151,"S Ghosh, RT Gahukar, VB Meyer‐Rochow, C Jung",Entomological Research,"51 (5), 209-229",3,2021,RdUpO4xyVKMC,Chuleui Jung,"""BtnbXbcAAAAJ"""
impact agroecological management plant diversity soilbased ecosystem services pasture coffee systems atlantic forest brazil,151,"HM Teixeira, FJJA Bianchi, IM Cardoso, P Tittonell, M Pena-Claros","Agriculture, Ecosystems & Environment","305, 107171",54,2021,EkHepimYqZsC,Felix Bianchi,"""8bwmdY4AAAAJ"""
organochlorine pesticide dieldrin upregulate proximal promoter pii driven cypa gene expression increases estrogen production granulosa cells,152,"D Sharma, S Kumari, P Rani, SK Onteru, P Roy, RK Tyagi, SP Singh, ...",Reproductive Toxicology,"106, 103-108",7,2021,tH6gc1N1XXoC,DR DEVINDER SHARMA,"""_0rxcOwAAAAJ"""
 dark side pseudoscorpion diversity german barcode life campaign reveals high levels undocumented diversity european false scorpions,152,"C Muster, J Spelda, B Rulik, J Thormann, L von der Mark, JJ Astrin",Ecology and evolution,"11 (20), 13815-13829",23,2021,GnPB-g6toBAC,Bjoern Rulik,"""zhs0lXUAAAAJ"""
pollinator communities vary vegetation structure time since management within regenerating timber harvests central appalachian mountains,152,"CL Mathis, DJ McNeil Jr, MR Lee, CM Grozinger, DI King, CRV Otto, ...",Forest Ecology and Management,"496, 119373",24,2021,IUKN3-7HHlwC,Christina Grozinger,"""uwKZaKIAAAAJ"""
environmental objectives spanish agriculture scientific guidelines effective implementation common agricultural policy ,152,"M Díaz, ED Concepción, MB Morales, JC Alonso, FM Azcárate, ...",Ardeola,"68 (2), 445-460",32,2021,37Fl7vPTsUIC,Ignasi Bartomeus,"""EXdyoWAAAAAJ"""
floral visits cordyla murina mycetophilidae dipterans asarum asaroides aristolochiaceae possible role mushroomlike scents,153,"S Kakishima, M Sueyoshi, Y Okuyama","Bulletin of the National Museum of Nature and Science. Series B, Botany",47 …,6,2021,fPk4N6BV_jEC,Okuyama Yudai,"""3ApTksoAAAAJ"""
impacts invasive australian acacias soil bacterial community composition microbial enzymatic activities nutrient availability fynbos soils,153,"JH Keet, AG Ellis, C Hui, A Novoa, JJ Le Roux",Microbial Ecology,18-Jan,26,2021,l7t_Zn2s7bgC,Allan G. Ellis,"""gxJPM4kAAAAJ"""
environmental objectives spanish agriculture scientific guidelines effective implementation common agricultural policy ,153,,Ardeola,"68 (2), 445-460",32,2021,idthP5jqfYAC,Marcos Miñarro,"""RCuk2cMAAAAJ"""
competition pollen wars simulations reveal dynamics competition mediated heterospecific pollen transfer nonflower constant insects,154,"A Dorin, T Taylor, M Burd, J Garcia, M Shrestha, AG Dyer",Theoretical Ecology,"14 (2), 207-218",2,2021,5ugPr518TE4C,Adrian Dyer,"""-XQ4dRsAAAAJ"""
prey removal cotton crops next woodland reveals periodic diurnal nocturnal invertebrate predation gradients crop edge birds bats,154,"HL Kolkert, R Smith, R Rader, N Reid",Scientific Reports,"11 (1), 5256",6,2021,xIusEVNJREcC,Romina Rader,"""d4b7yiAAAAAJ"""
 paywall coming another erected open access article processing charges apc may prevent researchers publishing leading journals,155,"FE Fontúrbel, J Vizentin-Bugoni",The Bulletin of the Ecological Society of America,"102 (1), e01791",18,2021,NaGl4SEjCO4C,Jeferson Vizentin-Bugoni,"""sdG0QscAAAAJ"""
chemical composition nutrient quality acceptability edible insects affected species developmental stage gender diet processing method,156,"VB Meyer-Rochow, RT Gahukar, S Ghosh, C Jung",Foods,"10 (5), 1036",167,2021,djft3U1LymYC,Chuleui Jung,"""BtnbXbcAAAAJ"""
habitat fragmentation negatively affects effective gene flow via pollen male female fitness dioecious tree spondias purpurea anacardiaceae,157,"EJ Cristóbal-Pérez, EJ Fuchs, S Martén-Rodríguez, M Quesada",Biological Conservation,"256, 109007",15,2021,L8Ckcad2t8MC,Eric J. Fuchs,"""ZvB7znsAAAAJ"""
morphological histological characterization extrafloral nectaries induced coelocephalapion galls croton antisyphiliticus brazilian cerrado,158,"GW Fernandes, A Aguirre-Jaimes, X Contreras-Varela, E Cocoletzi, ...",Flora,"274, 151758",4,2021,CB2v5VPnA5kC,Mauricio Quesada,"""-OsTXSoAAAAJ"""
diversity flowervisiting hoverflies diptera syrphidae ground cover vegetation marketgardening area meskine farnorth region cameroon,158,"MA Ela, BB Wangbara, K Jordaens",AFRICAN JOURNAL OF ECOLOGY,,6,2021,HDshCWvjkbEC,Kurt Jordaens,"""mbg0t7QAAAAJ"""
discovery cryptic diversity phytophagous gall midges diptera cecidomyiidae associated different ecotypes perennial herb cimicifuga simplex,159,"T Toji, M Tokuda, T Yamamoto, Y Nakase, T Itino",Journal of Asia-Pacific Entomology,"24 (4), 1010-1016",2,2021,WqliGbK-hY8C,Takao Itino,"""1RUMEKYAAAAJ"""
microhabitats created log landings support abundant flowers insect pollinators within regenerating mixedoak stands central appalachian mountains,159,"MR Lee, DJ McNeil Jr, CL Mathis, CM Grozinger, JL Larkin",Forest Ecology and Management,"497, 119472",12,2021,9c2xU6iGI7YC,Christina Grozinger,"""uwKZaKIAAAAJ"""
landholders perceptions legal reserves agricultural intensification diversity implications forest conservation eastern brazilian amazon,159,"D Pinillos, R Poccard-Chapuis, FJJA Bianchi, M Corbeels, CJ Timler, ...",Forest Policy and Economics,"129, 102504",17,2021,URolC5Kub84C,Felix Bianchi,"""8bwmdY4AAAAJ"""
 early devonian fungus mycokidstonia sphaerialoides rhynie chert member ambisporaceae glomeromycota archaeosporales ascomycete,161,"C Walker, CJ Harper, M Brundrett, M Krings",Review of Palaeobotany and Palynology,"287, 104384",6,2021,WliCQ7fkH-wC,Mark C. Brundrett,"""F5_dBsgAAAAJ"""
valuable secondary habitats hazardous ecological traps environmental risk assessment minor trace elements fly ash deposits across czech republic,162,"E Chmelová, V Kolar, J Jan, BM Carreira, A Landeira-Dabarca, ...",Sustainability,"13 (18), 10385",5,2021,j8SEvjWlNXcC,Robert Tropek,"""0UDnavUAAAAJ"""
use earth observation satellite data guide implementation integrated pest pollinator management ippm technologies avocado production system,164,"M Adan, EM Abdel-Rahman, S Gachoki, BW Muriithi, HMG Lattorff, ...",Remote Sensing Applications: Society and Environment,"23, 100566",26,2021,ufrVoPGSRksC,H. Michael G. Lattorff,"""04hFd4oAAAAJ"""
towards precision apiculture traditional technological insect monitoring methods strawberry raspberry crop polytunnels tell different pollination stories,165,"SR Howard, M Nisal Ratnayake, AG Dyer, JE Garcia, A Dorin",Plos one,"16 (5), e0251572",9,2021,g3aElNc5_aQC,Adrian Dyer,"""-XQ4dRsAAAAJ"""
rna interferencemediated knockdown genes encoding spore wall proteins confers protection nosema ceranae infection european honey bee apis mellifera,167,"N He, Y Zhang, XL Duan, JH Li, WF Huang, JD Evans, ...",Microorganisms,"9 (3), 505",18,2021,URGbnSt0D2cC,Jay D. Evans,"""iCJoV-EAAAAJ"""
applying system environmental economic accountingecosystem accounting seeaea framework catchment scale develop ecosystem extent condition accounts,167,"CA Farrell, L Coleman, M Kelly-Quinn, CG Obst, M Eigenraam, D Norton, ...",University of Limerick,,39,2021,uWiczbcajpAC,Jane Stout,"""OkdqijcAAAAJ"""
largescale geography survey provides insights colonization history major aphid pest cultivated apple host europe north america north africa,169,"SG Olvera-Vazquez, C Remoué, A Venon, A Rousselet, O Grandcolas, ...",Peer Community Journal,1,1,2021,XAp-VaTZjjwC,Marcos Miñarro,"""RCuk2cMAAAAJ"""
divergence body mass wing loading population structure reveals speciesspecific potentially adaptive trait variation across elevations montane bumble bees,170,"JD Lozier, ZM Parsons, L Rachoki, JM Jackson, ML Pimsler, KJ Oyen, ...",Insect Systematics and Diversity,"5 (5), 3",23,2021,VL0QpB8kHFEC,James P. Strange,"""4J50xaYAAAAJ"""
experimental manipulation air temperature captivity appears unsuitable evaluating fecal glucocorticoid metabolite responses wildcaught birds heat exposure,171,"CA Ngcamphalala, M Bouwer, SW Nicolson, A Ganswindt, AE McKechnie",Physiological and Biochemical Zoology,"94 (5), 330-337",1,2021,VLnqNzywnoUC,Susan W. Nicolson,"""YK3ya9oAAAAJ"""
crop wild phylorelatives cwps phylogenetic distance cytogenetic compatibility breeding system data enable estimation crop wild relative gene pool classification,171,"J Viruel, MB Kantar, R Gargiulo, P Hesketh-Prichard, N Leong, C Cockel, ...",Botanical Journal of the Linnean Society,"195 (1), 1-33",32,2021,4TOpqqG69KYC,Rocio Perez-Barrales,"""j9crhCAAAAAJ"""
insecticidal effect bacillus pumilus ptb bacillus subtilis ptb used alone combination foxglove aphid melon aphid hemiptera aphididae,175,"M Kahia, TTA Nguyen, F McCune, R Naasz, H Antoun, V Fournier",The Canadian Entomologist,"153 (6), 726-740",8,2021,kRWSkSYxWN8C,Valérie Fournier,"""EzwwLy4AAAAJ"""
evidence cognitive specialization insect proficiency maintained across elemental higherorder visual learning sensory modalities honey bees,175,"V Finke, D Baracchi, M Giurfa, R Scheiner, A Avarguès-Weber",Journal of Experimental Biology,"224 (24), jeb242470",17,2021,GJVTs2krol4C,David Baracchi,"""1JRZ0d0AAAAJ"""
comparative phylogeography two northern rocky mountain endemics widespread anguispira kochi occidentalis narrowrange anguispira nimapuna gastropoda discidae,176,"AM Rankin, FE Anderson, SA Clutts, A Espíndola, BC Carstens, M Lucid, ...",Biological Journal of the Linnean Society,"133 (3), 817-834",4,2021,_Qo2XoVZTnwC,Anahí Espíndola,"""7tB6PFIAAAAJ"""
damage recovery drift syntheticauxin herbicide dicamba depends concentration varies among floral vegetative lifetime traits rapid cycling brassica rapa,180,"SE Ramos, LD Rzodkiewicz, MM Turcotte, TL Ashman",Science of the Total Environment,"801, 149732",5,2021,nVrZBo8bIpAC,Tia-Lynn Ashman,"""lLk9M0cAAAAJ"""
bee nutrition,13,"G Wright, S Shafir, S Nicolson, P Stevenson",US Patent,"11,382,344",1,2022,OR75R8vi5nAC,Philip C Stevenson,"""LFTAL14AAAAJ"""
iberian bees database,21,"I Bartomeus, JB Lanuza, TJ Wood, L Carvalheiro, FP Molina, ...",Ecosistemas,31 (3),8,2022,QAOzB4mb83kC,Ignasi Bartomeus,"""EXdyoWAAAAAJ"""
 lime trees kill bees,23,"H Koch, P Stevenson","The Royal Botanical Gardens, Kew. https://www. kew. org/read-and-watch/do …",,1,2022,2VqYfGB8ITEC,Philip C Stevenson,"""LFTAL14AAAAJ"""
european plant invasions,24,"P Pyšek, J Pergl, W Dawson, F Essl, H Kreft, P Weigelt, M Winter, ...",Global Plant Invasions,151-165,9,2022,5qfkUJPXOUwC,Mark van Kleunen,"""2gmD55UAAAAJ"""
plant invasions africa,25,"DM Richardson, ABR Witt, J Pergl, W Dawson, F Essl, H Kreft, ...",Global plant invasions,225-252,19,2022,0N-VGjzr574C,Mark van Kleunen,"""2gmD55UAAAAJ"""
global maps soil temperature,31,"JJ Lembrechts, J van den Hoogen, J Aalto, MB Ashcroft, P De Frenne, ...",Global change biology,"28 (9), 3110-3144",171,2022,mB3voiENLucC,Øystein H. Opedal,"""MQGtPUYAAAAJ"""
 misplaced management bees,32,"B Geslin, L Ropars, M Zakardjian, F Flacher",Authorea Preprints,,6,2022,DJbcl8HfkQkC,Benoît Geslin,"""GxNy-vwAAAAJ"""
 animals want like,35,"JE Garcia, AG Dyer",Science,"376 (6592), 456-457",3,2022,8k81kl-MbHgC,Adrian Dyer,"""-XQ4dRsAAAAJ"""
 pollination exist plants,36,"J Ollerton, ZX Ren",Science,"377 (6605), 471-472",4,2022,ZuybSZzF8UAC,Jeff Ollerton,"""pGS18ZgAAAAJ"""
global change biological invasions,38,"YL Feng, D Du, M van Kleunen",Journal of Plant Ecology,"15 (3), 425-428",12,2022,YohjEiUPhakC,Mark van Kleunen,"""2gmD55UAAAAJ"""
glyphosate impairs bee thermoregulation,39,J Crall,Science,"376 (6597), 1051-1052",7,2022,isC4tDSrTZIC,James Crall,"""MUgML1sAAAAJ"""
shipping augmentative biocontrol agents,40,"E Vila, F Wäckers, J Klapwijk",,,1,2022,T_ojBgVMvoEC,Felix Wackers,"""3pVhk_wAAAAJ"""
 quantity matter stingless bee,40,"J Eckert, M Bohn, J Spaethe",Animal Cognition,13-Jan,4,2022,WbkHhVStYXYC,Johannes Spaethe,"""w1qwkAoAAAAJ"""
marcas de libreros en la biblioteca arata,41,D Medan,Ponto de Acesso,"16 (3), 126-145",1,2022,ult01sCh7k0C,Medan Diego,"""GfiU00IAAAAJ"""
neonicotinoids optimal foraging theory,42,GH Pyke,Environmental Advances,"7, 100161",4,2022,MLfJN-KU85MC,"Pyke, Graham H.","""RDpVYUMAAAAJ"""
intelligent insect trap monitoring system,45,"H Patch, NDT Aldas, E Homan, V Narayanan, C Mathis, C Lee, ...",US Patent App.,"17/742,350",2,2022,fbc8zXXH2BUC,Christina Grozinger,"""uwKZaKIAAAAJ"""
dopi database pollinator interactions,45,"NJ Balfour, MC Castellanos, D Goulson, A Philippides, C Johnson",Ecology,"103 (11), e3801",8,2022,bFI3QPDXJZMC,Maria Clara Castellanos,"""HVvY9XwAAAAJ"""
statement active substance acetamiprid,45,"EFSA Panel on Plant Protection Products and their Residues (PPR), ...",Efsa Journal,"20 (1), e07031",14,2022,dQ2og3OwTAUC,Maj Rundlöf,"""FkXb8ncAAAAJ"""
sweet solutions nectar chemistry quality,45,SW Nicolson,Philosophical Transactions of the Royal Society B,"377 (1853), 20210163",67,2022,p__nRnzSRKYC,Susan W. Nicolson,"""YK3ya9oAAAAJ"""
entomol early adventure social media,46,P Kevan,Life: The Excitement of Biology,"10 (1), 72-76",1,2022,CNPyR2KL9-0C,Peter Kevan,"""mbOeZkcAAAAJ"""
ecological network complexity scales area,46,"N Galiana, M Lurgi, VAG Bastazini, J Bosch, L Cagnolo, K Cazelles, ...",Nature ecology & evolution,"6 (3), 307-314",47,2022,uLbwQdceFCQC,Jordi Bosch,"""5jPITlMAAAAJ"""
colour vision ants formicidae hymenoptera,47,"A Yilmaz, J Spaethe",Philosophical Transactions of the Royal Society B,"377 (1862), 20210291",7,2022,5Ul4iDaHHb8C,Johannes Spaethe,"""w1qwkAoAAAAJ"""
natural processes influencing pollinator health,47,"PC Stevenson, H Koch, SW Nicolson, MJF Brown",Philosophical Transactions of the Royal Society B,"377 (1853), 20210154",10,2022,XUvXOeBm_78C,Philip C Stevenson,"""LFTAL14AAAAJ"""
meetstrategie biociden overwegingen en criteria,48,"T Pronk, I Roessink, E Smit",Stichting Toegepast Onderzoek Waterbeheer (STOWA),,1,2022,BwyfMAYsbu0C,Dr. ir. Ivo Roessink,"""v8ZfuNkAAAAJ"""
recording animalview videos natural world,49,"V Vasas, MC Lowell, J Villa, QD Jamison, AG Siegle, PKR Katta, ...",BioRxiv,2022.11. 22.517269,1,2022,MIg0yeAD4ggC,Peter Kevan,"""mbOeZkcAAAAJ"""
management pests using genetic tools africa,49,"SG KS Nitin, TS Masehela, AK Chakravarthy",Genetic Methods and Tools for Managing Crop Pests,303-326,3,2022,eMMeJKvmdy0C,Sjirk Geerts,"""_ZlLqNwAAAAJ"""
